objectid,globalid,CreationDate,Creator,EditDate,Editor,how_do_you_feel,describe_the_spot_where_youre_s,how_noisy_is_it,describe_the_spot_where_y_other,SHAPE
1,9326fe8b-6a6b-4123-85c3-9fd9318ace9c,2024-09-13 13:57:00.055000067,,2024-09-13 13:57:00.055000067,,Somewhat Cold,Not_windy,It's ok,,"{'x': 13.325074099999776, 'y': 52.48825019999911, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
2,267c7873-efe5-4e28-8a35-1cc76a38445f,2024-09-13 13:59:54.655999899,Jonas_DKSR,2024-09-13 13:59:54.655999899,Jonas_DKSR,Somewhat Cold,Indoors,It's ok,,"{'x': 13.358170899999774, 'y': 52.49632359999911, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
3,4536b588-0dea-41fd-83a3-ee16815c019e,2024-09-13 14:00:18.009999990,Jonas_DKSR,2024-09-13 14:00:18.009999990,Jonas_DKSR,Neutral,Indoors,It's ok,,"{'x': 13.347776999999775, 'y': 52.49532949999911, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
4,7fa80118-d539-4a73-853e-06ffd42dbfa8,2024-09-13 15:10:37.986999989,Jonas_DKSR,2024-09-13 15:10:37.986999989,Jonas_DKSR,Neutral,Indoors,It's ok,,"{'x': 13.348279467264318, 'y': 52.49593424991321, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
5,9ff4191a-a680-47ee-8ec3-310f186b0c00,2024-09-15 15:44:23.542000055,,2024-09-15 15:44:23.542000055,,Neutral,other,It's ok,On a Train,"{'x': 13.333299199999775, 'y': 52.50088959999911, 'spatialReference': {'wkid': 4326, 'latestWkid': 4326}}"
